Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FlujoRegistroUsuarios,Chrome 141.0.7390.122,,,24-10-2025 00:09:36,24-10-2025 00:10:09,33.939s,PASSED
,,,,,,,
Test Cases/01_QA_PortalTributario/COD_01_PT_QATesting_RegistroUsuarios/01_Test_UsuariosNoRegistrados,Chrome 141.0.7390.122,"El objetivo de esta prueba es validar:
1. Usuarios no registrados, no puedan acceder al portal
2. Validar que exista un mensaje que notifique del error
3. Cerrar el login",Usuarios,24-10-2025 00:09:36,24-10-2025 00:09:46,9.685s,PASSED
"openBrowser("""")",Chrome 141.0.7390.122,,,24-10-2025 00:09:37,24-10-2025 00:09:39,2.398s,PASSED
"navigateToUrl(""https://saceq-kong-saceq-qa.apps.codice-cluser0.py57.p1.openshiftapps.com/app-qa/saceq"")",Chrome 141.0.7390.122,,,24-10-2025 00:09:39,24-10-2025 00:09:40,1.116s,PASSED
"click(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/a_Registro_bg-pt-tertiary rounded-lg text-w_5995c9""))",Chrome 141.0.7390.122,,,24-10-2025 00:09:40,24-10-2025 00:09:41,1.017s,PASSED
"setText(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/input_OFICINA VIRTUAL_RFC""), ""CUO620119VB1"")",Chrome 141.0.7390.122,,,24-10-2025 00:09:41,24-10-2025 00:09:42,1.018s,PASSED
"click(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/button_Cancelar_px-4 py-2 uppercase bg-pt-t_3f7ad9""))",Chrome 141.0.7390.122,,,24-10-2025 00:09:42,24-10-2025 00:09:43,0.526s,PASSED
"verifyElementText(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/div_Usuario no registrado_go3958317564""), ""Usuario no registrado"")",Chrome 141.0.7390.122,,,24-10-2025 00:09:43,24-10-2025 00:09:43,0.739s,PASSED
"rightClick(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/div_Usuario no registrado_go3958317564""))",Chrome 141.0.7390.122,,,24-10-2025 00:09:43,24-10-2025 00:09:44,0.559s,PASSED
"click(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/a_CUO620119VB1_px-4 py-2 block uppercase bg_c6de09""))",Chrome 141.0.7390.122,,,24-10-2025 00:09:44,24-10-2025 00:09:44,0.459s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/img_v1.3.0_w-full h-auto rounded-lg""), 0)",Chrome 141.0.7390.122,,,24-10-2025 00:09:44,24-10-2025 00:09:45,0.628s,PASSED
closeBrowser(),Chrome 141.0.7390.122,,,24-10-2025 00:09:45,24-10-2025 00:09:46,0.780s,PASSED
,,,,,,,
Test Cases/01_QA_PortalTributario/COD_01_PT_QATesting_RegistroUsuarios/02_Test_UsuariosRegistrados,Chrome 141.0.7390.122,"El objetivo de la prueba es:
1. Acceder con claves validas
2. No debe haber interrupciones
3. Ver el portal",Usuarios,24-10-2025 00:09:46,24-10-2025 00:10:09,23.591s,PASSED
"openBrowser("""")",Chrome 141.0.7390.122,,,24-10-2025 00:09:46,24-10-2025 00:09:47,1.027s,PASSED
"navigateToUrl(""https://saceq-kong-saceq-qa.apps.codice-cluser0.py57.p1.openshiftapps.com/app-qa/saceq"")",Chrome 141.0.7390.122,,,24-10-2025 00:09:47,24-10-2025 00:09:48,1.119s,PASSED
"click(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/a_Registro_bg-pt-tertiary rounded-lg text-w_5995c9""))",Chrome 141.0.7390.122,,,24-10-2025 00:09:48,24-10-2025 00:09:49,0.919s,PASSED
"setText(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/input_OFICINA VIRTUAL_RFC""), ""TTI680427SMA"")",Chrome 141.0.7390.122,,,24-10-2025 00:09:49,24-10-2025 00:09:50,1.083s,PASSED
