Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FlujoRegistroUsuariosTag,Chrome 141.0.7390.122,,,24-10-2025 00:19:25,24-10-2025 00:19:57,32.141s,PASSED
,,,,,,,
Test Cases/01_QA_PortalTributario/COD_01_PT_QATesting_RegistroUsuarios/01_Test_UsuariosNoRegistrados,Chrome 141.0.7390.122,"El objetivo de esta prueba es validar:
1. Usuarios no registrados, no puedan acceder al portal
2. Validar que exista un mensaje que notifique del error
3. Cerrar el login",Usuarios,24-10-2025 00:19:25,24-10-2025 00:19:35,9.943s,PASSED
"openBrowser("""")",Chrome 141.0.7390.122,,,24-10-2025 00:19:26,24-10-2025 00:19:28,2.562s,PASSED
"navigateToUrl(""https://saceq-kong-saceq-qa.apps.codice-cluser0.py57.p1.openshiftapps.com/app-qa/saceq"")",Chrome 141.0.7390.122,,,24-10-2025 00:19:28,24-10-2025 00:19:30,1.227s,PASSED
"click(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/a_Registro_bg-pt-tertiary rounded-lg text-w_5995c9""))",Chrome 141.0.7390.122,,,24-10-2025 00:19:30,24-10-2025 00:19:31,1.059s,PASSED
"setText(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/input_OFICINA VIRTUAL_RFC""), ""CUO620119VB1"")",Chrome 141.0.7390.122,,,24-10-2025 00:19:31,24-10-2025 00:19:32,0.991s,PASSED
"click(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/button_Cancelar_px-4 py-2 uppercase bg-pt-t_3f7ad9""))",Chrome 141.0.7390.122,,,24-10-2025 00:19:32,24-10-2025 00:19:32,0.530s,PASSED
"verifyElementText(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/div_Usuario no registrado_go3958317564""), ""Usuario no registrado"")",Chrome 141.0.7390.122,,,24-10-2025 00:19:32,24-10-2025 00:19:33,0.736s,PASSED
"rightClick(findTestObject(""Object Repository/01_PortalTributario_Objects/Page_NUEVO RECAUDANET/div_Usuario no registrado_go3958317564""))",Chrome 141.0.7390.122,,,24-10-2025 00:19:33,24-10-2025 00:19:33,0.526s,PASSED
